"dma1_id","chan1_id","chan2_id","chan3_id","sales2_id","sales1_id"
"National","Mortgage","General Market","Online Display","Refi Mortgage - New WF Customers","Mortgage"
"National","Mortgage","General Market","Paid Search","Purchase Mortgage - Existing WF Customers","Mortgage"
"National","Mortgage","General Market","Paid Search","Purchase Mortgage - New WF Customers","Mortgage"
"National","Mortgage","General Market","Paid Search","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Mortgage","General Market","Paid Search","Refi Mortgage - New WF Customers","Mortgage"
"National","Mortgage","General Market","Radio","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Mortgage","General Market","Radio","Home Equity","Home Equity"
"National","Mortgage","General Market","Radio","Purchase Mortgage - Existing WF Customers","Mortgage"
"National","Mortgage","General Market","Radio","Purchase Mortgage - New WF Customers","Mortgage"
"National","Mortgage","General Market","Radio","Refi Mortgage - New WF Customers","Mortgage"
"National","Mortgage","General Market","Television","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Mortgage","General Market","Television","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Purchase Mortgage","Direct Mail","Direct Mail Acq/Prosp","Purchase Mortgage - New WF Customers","Mortgage"
"National","Refi Mortgage","Direct Mail","Direct Mail Acq/Prosp","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Refi Mortgage","Direct Mail","Direct Mail Acq/Prosp","Refi Mortgage - New WF Customers","Mortgage"
"National","Refi Mortgage","Direct Mail","Direct Mail Xsell/Recap","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Remittance","Diverse Segment","Newspaper","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","SMB Deposits","Direct Mail","Direct Mail Acq/Prosp","Business Checking - New Checking Customers","Business"
"National","SMB Deposits","Direct Mail","Direct Mail Xsell/Recap","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Magazine","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Magazine","Business Direct - Store Channel","Business"
"National","Small Business","General Market","Newspaper","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Online Display","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Outdoor","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Outdoor","Business Direct - Store Channel","Business"
"National","Small Business","General Market","Radio","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Television","Business Checking - New Checking Customers","Business"
"National","Small Business","General Market","Television","Business Direct - Store Channel","Business"
"National","Student Credit Card","Direct Mail","Direct Mail Xsell/Recap","Credit Card - Student","Credit Card"
"National","Traffic Driving","General Market","Magazine","Business Checking - New Checking Customers","Business"
"National","Traffic Driving","General Market","Newspaper","Business Checking - New Checking Customers","Business"
"National","Traffic Driving","General Market","Newspaper","Business Direct - Direct Channel","Business"
"National","Traffic Driving","General Market","Newspaper","Business Direct - Store Channel","Business"
"National","Traffic Driving","General Market","Newspaper","Credit Card - Core","Credit Card"
"National","Traffic Driving","General Market","Newspaper","Home Equity","Home Equity"
"National","Traffic Driving","General Market","Online Display","Business Direct - Direct Channel","Business"
"National","Traffic Driving","General Market","Online Display","Business Direct - Store Channel","Business"
"National","Traffic Driving","General Market","Online Display","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Traffic Driving","General Market","Online Display","Credit Card - Core","Credit Card"
"National","Traffic Driving","General Market","Online Display","Credit Card - Secured","Credit Card"
"National","Traffic Driving","General Market","Online Display","Credit Card - Student","Credit Card"
"National","Traffic Driving","General Market","Online Display","Home Equity","Home Equity"
"National","Traffic Driving","General Market","Online Display","Personal Lines & Loans","Lines & Loans"
"National","Traffic Driving","General Market","Outdoor","Credit Card - Secured","Credit Card"
"National","Traffic Driving","General Market","Outdoor","Personal Lines & Loans","Lines & Loans"
"National","Traffic Driving","General Market","Radio","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Traffic Driving","General Market","Radio","Credit Card - Core","Credit Card"
"National","Traffic Driving","General Market","Radio","Credit Card - Secured","Credit Card"
"National","Traffic Driving","General Market","Radio","Credit Card - Student","Credit Card"
"National","Traffic Driving","General Market","Radio","Home Equity","Home Equity"
"National","Traffic Driving","General Market","Radio","Personal Lines & Loans","Lines & Loans"
"National","Traffic Driving","General Market","Television","Home Equity","Home Equity"
"National","WBR","Direct Mail","Direct Mail Acq/Prosp","WIM - Non-retirement","WIM"
"National","WBR","Direct Mail","Direct Mail Acq/Prosp","WIM - Retirement","WIM"
"National","WBR Brokerage","General Market","Magazine","WIM - Retirement","WIM"
"National","WBR Brokerage","General Market","Newspaper","WIM - Non-retirement","WIM"
"National","WBR Brokerage","General Market","Online Display","WIM - Non-retirement","WIM"
"National","WBR Brokerage","General Market","Online Display","WIM - Retirement","WIM"
"National","WBR Brokerage","General Market","Paid Search","WIM - Non-retirement","WIM"
"National","WBR Brokerage","General Market","Paid Search","WIM - Retirement","WIM"
"National","WBR Brokerage","General Market","Television","WIM - Non-retirement","WIM"
"National","WBR Brokerage","General Market","Television","WIM - Retirement","WIM"
"National","WBR Retirement","General Market","Magazine","WIM - Non-retirement","WIM"
"National","WBR Retirement","General Market","Magazine","WIM - Retirement","WIM"
"National","WBR Retirement","General Market","Online Display","WIM - Retirement","WIM"
"National","WBR Retirement","General Market","Paid Search","WIM - Non-retirement","WIM"
"National","WBR Retirement","General Market","Paid Search","WIM - Retirement","WIM"
"National","WBR Retirement","General Market","Television","WIM - Retirement","WIM"
