sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name,factor_1,factor_2,factor_3
Credit Card,Credit Card - Secured,Online Display,General Market,Brand,National,0.6,0.15,2442528.591,1,1,107.1624038,weekly,131,198,320
Lines & Loans,Personal Lines & Loans,Television,General Market,Deposits,National,5,0.3,141.33,29371.62418,1,600.7340635,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Outdoor,General Market,Deposits,National,2,0.3,1072149.405,1,1,304.427153,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Online Display,General Market,Deposits,National,0.01,0.15,1661893.244,1,1,975.2895481,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Television,General Market,Brand,National,1,0.15,134.59,34785.33651,1,431.3516515,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Online Display,General Market,Brand,National,0.6,0.3,2442528.591,1,1,684.0377948,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Radio,General Market,Traffic Driving,National,1,0.45,2147885.081,1,1,2134.039571,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Outdoor,General Market,Traffic Driving,National,2,0.3,282302.3664,1,1,415.7911328,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Online Display,General Market,Traffic Driving,National,0.6,0.15,380301384,0.002042718,1,795.4936105,weekly,573,651,728
Lines & Loans,Personal Lines & Loans,Direct Mail Xsell/Recap,Direct Mail,Lines & Loans,National,2,0.45,4456030,0.56,1,5805.805439,weekly,573,651,728
Home Equity,Home Equity,Radio,General Market,Mortgage,National,0.3,0.3,560378.429,1,1,104.728142,weekly,-69,736,1474
Home Equity,Home Equity,Radio,General Market,Brand,National,0.3,0.3,700242.9861,1,1,66.07596375,weekly,-69,736,1474
Home Equity,Home Equity,Television,General Market,Traffic Driving,National,2,0.15,2.007319108,25844.70328,1,35.12475236,weekly,-69,736,1474
Home Equity,Home Equity,Radio,General Market,Traffic Driving,National,0.6,0.3,2147885.081,1,1,120.8288716,weekly,-69,736,1474
Home Equity,Home Equity,Newspaper,General Market,Traffic Driving,National,0.3,0.15,770207.3998,1,1,56.92914934,weekly,-69,736,1474
Home Equity,Home Equity,Online Display,General Market,Traffic Driving,National,0.01,0.3,380301384,0.002042718,1,119.4155226,weekly,-69,736,1474
Home Equity,Home Equity,Direct Mail Xsell/Recap,Direct Mail,Home Equity,National,3,0.3,1448644,0.56,1,1060.189373,weekly,-69,736,1474
Business,Business Checking - New Checking Customers,Television,General Market,Small Business,National,4,0.15,98.54403215,28701.67614,1,758.7263084,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Radio,General Market,Small Business,National,1,0.3,540156.9207,1,1,178.4331055,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Newspaper,General Market,Small Business,National,0.6,0.3,940787.0916,1,1,185.2031896,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Magazine,General Market,Small Business,National,1,0.3,533106.9741,1,1,86.06215938,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Outdoor,General Market,Small Business,National,0.6,0.3,415969.8772,1,1,121.7684669,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Online Display,General Market,Small Business,National,1,0.45,307909594,0.004520098,1,325.0793007,weekly,867,1162,1683
