sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
Consumer Deposits,Consumer Checking - New Checking Customers,Online Video,Deposits,General Market,National,odp_vd_dep_imp,1263.778479,2,0.15,101199898,0.012153508,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Outdoor,Deposits,General Market,National,toh_dpst_spd,461.7763134,1,0.3,1072149.405,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Paid Search,Brand,General Market,National,ops_ebr_tl_tl_spd,401.0424341,0.01,0.15,131978.22,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Paid Search,Deposits (Generic Banking),General Market,National,ops_dcr_gb_tl_spd,641.9392243,0.01,0.15,176935.83,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Paid Search,Deposits (Generic Checking),General Market,National,ops_dcr_gc_tl_spd,1087.425171,0.01,0.15,293974.43,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,Brand,Diverse Segment,National,trd_ds_brnd_spd,360.5964187,0.3,0.45,407726.572,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,Traffic Driving,Diverse Segment,National,trd_ds_trfc_spd,1582.435705,0.6,0.3,285001.92,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,Brand,General Market,National,trd_brnd_spd,251.6093408,0.6,0.45,932153.265,1,0.3,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,Traffic Driving,General Market,National,trd_trfc_spd,3787.321479,0.6,0.15,2147885.081,1,0.25,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,Brand,Diverse Segment,National,ttv_ds_brnd_spd,681.7870653,2,0.45,1164438.693,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,Brand,General Market,National,ttv_brnd_spd,1789.170757,5,0.3,5463631.7,1,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,Deposits,General Market,National,ttv_dpst_trp,4652.821327,5,0.15,675.36,27396.33723,1,1,1,112,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,Mortgage,General Market,National,ttv_mrtg_trp,8323.547362,2,0.3,367.8,28375.57342,1,1,1,112,312,423,582
Credit Card,Credit Card - Core,Newspaper,Traffic Driving,Diverse Segment,National,tnp_ds_trfc_ecr,302.3426656,0.6,0.3,1652938.5,0.061419102,0.222,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,3039.986497,1,0.15,380301384,0.002878022,0.3,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Online Video,Deposits,General Market,National,odp_vd_dep_imp,1142.355669,1,0.3,101199898,0.012153508,1,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Outdoor,Traffic Driving,General Market,National,toh_trfc_spd,549.0822488,3,0.3,282302.3664,1,0.222,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Radio,Traffic Driving,Diverse Segment,National,trd_ds_trfc_spd,670.2685554,3,0.15,285001.92,1,1,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Radio,Traffic Driving,General Market,National,trd_trfc_spd,2671.578746,1,0.15,2147885.081,1,0.25,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Television,Brand,General Market,National,ttv_brnd_trp,1642.810386,3,0.15,383.4,33818.11378,1,1,0.222,-41,198,474,973
Credit Card,Credit Card - Core,Television,Deposits,General Market,National,ttv_dpst_trp,6159.537679,3,0.15,675.36,27396.33723,1,1,0.222,-41,198,474,973
Credit Card,Credit Card - Secured,Online Banner,Deposits,General Market,National,odp_nv_dep_imp,244.3971755,0.3,0.3,374836881,0.004301019,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,193.6560578,0.6,0.15,380301384,0.002878022,0.3,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Online Video,Brand,General Market,National,odp_vd_brd_imp,737.6999782,0.6,0.15,372404352,0.01243976,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Online Video,Deposits,General Market,National,odp_vd_dep_imp,150.6552052,0.3,0.3,101199898,0.012153508,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Outdoor,Deposits,General Market,National,toh_dpst_spd,151.0757569,0.6,0.3,1072149.405,1,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Radio,Brand,General Market,National,trd_brnd_spd,164.5886876,0.3,0.45,932153.265,1,0.3,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Radio,Traffic Driving,General Market,National,trd_trfc_spd,493.9996504,0.6,0.15,2147885.081,1,0.25,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Television,Brand,General Market,National,ttv_brnd_trp,180.13808,2,0.15,383.4,33818.11378,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Secured,Television,Deposits,General Market,National,ttv_dpst_trp,1466.349392,4,0.15,675.36,27396.33723,1,1,0.668,43,131,198,320
Credit Card,Credit Card - Student,Online Banner,Brand,General Market,National,odp_nv_brd_imp,824.8284848,0.6,0.15,237308965,0.004969707,1,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Online Banner,Deposits,General Market,National,odp_nv_dep_imp,660.8426532,0.6,0.3,374836881,0.004301019,1,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,556.7679999,0.6,0.45,380301384,0.002878022,0.3,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Online Video,Deposits,General Market,National,odp_vd_dep_imp,290.0764655,0.3,0.45,101199898,0.012153508,1,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Outdoor,Brand,General Market,National,toh_brnd_spd,1051.787521,1,0.15,2157133.73,1,0.54,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Radio,Traffic Driving,General Market,National,trd_trfc_spd,526.5010697,0.6,0.15,2147885.081,1,0.25,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Television,Brand,General Market,National,ttv_brnd_trp,811.9819102,3,0.45,383.4,33818.11378,1,1,0.54,-59,-1,99,422
Credit Card,Credit Card - Student,Television,Deposits,General Market,National,ttv_dpst_trp,714.6179506,4,0.45,675.36,27396.33723,1,1,0.54,-59,-1,99,422
Home Equity,Home Equity,Newspaper,Traffic Driving,General Market,National,tnp_trfc_spd,245.4625228,0.3,0.15,770207.3998,1,1,1,0.2942,-1652,-69,736,1474
Home Equity,Home Equity,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,78.32656125,1,0.45,380301384,0.002878022,0.3,1,0.2942,-1652,-69,736,1474
Home Equity,Home Equity,Radio,Brand,General Market,National,trd_brnd_spd,352.2754893,0.3,0.15,932153.265,1,0.3,1,0.2942,-1652,-69,736,1474
Home Equity,Home Equity,Radio,Mortgage,General Market,National,trd_mrtg_spd,134.6279003,0.3,0.15,560378.429,1,0.2942,1,0.2942,-1652,-69,736,1474
Home Equity,Home Equity,Radio,Traffic Driving,General Market,National,trd_trfc_spd,88.51519508,3,0.45,2147885.081,1,0.25,1,0.2942,-1652,-69,736,1474
Home Equity,Home Equity,Television,Brand,General Market,National,ttv_brnd_trp,173.3589097,3,0.3,383.4,33818.11378,1,1,0.2942,-1652,-69,736,1474
Lines & Loans,Personal Lines & Loans,Online Banner,Brand,General Market,National,odp_nv_brd_imp,440.4447824,0.3,0.6,237308965,0.004969707,1,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,343.3521609,0.01,0.45,380301384,0.002878022,0.3,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Online Video,Deposits,General Market,National,odp_vd_dep_imp,1404.40001,0.01,0.15,101199898,0.012153508,1,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Outdoor,Deposits,General Market,National,toh_dpst_spd,392.1386399,1,0.45,1072149.405,1,1,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Outdoor,Traffic Driving,General Market,National,toh_trfc_spd,570.5021446,3,0.15,282302.3664,1,0.222,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Radio,Traffic Driving,Diverse Segment,National,trd_ds_trfc_spd,839.4519539,0.3,0.15,285001.92,1,1,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Radio,Traffic Driving,General Market,National,trd_trfc_spd,1551.108452,2,0.15,2147885.081,1,0.25,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Television,Brand,General Market,National,ttv_brnd_trp,913.5652753,3,0.15,383.4,33818.11378,1,1,0.292,334,573,651,728
Lines & Loans,Personal Lines & Loans,Television,Deposits,General Market,National,ttv_dpst_trp,1426.568106,4,0.15,675.36,27396.33723,1,1,0.292,334,573,651,728
Mortgage,Purchase Mortgage - Existing WF Customers,Online Display,Mortgage,General Market,National,odp_tl_mtg_spd,209.1076751,0.6,0.15,216734.588,1,0.23501625,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Online Display,Mortgage eLending,General Market,National,odp_tl_mel_spd,1104.287467,0.6,0.15,1236085.57,1,0.23501625,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Outdoor,Mortgage,General Market,National,toh_mrtg_spd,17.41907955,1,0.15,20028,1,0.23501625,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Paid Search,Mortgage,General Market,National,ops_mtg_tl_tl_clk,327.20897,0.01,0.15,139537,1.987502023,0.23501625,1,0.23501625,711,1597,2067,2067
